Device Name,DiskSpacePreCleanUP,DiskSpacePostCleanUP,DiskSpaceRecovered,location
DTX-LBJ-4331-RTR01,0.44 GB,1.07 GB,0.63 GB,6606 LBJ Freeway Suite 200 Dallas TX 75240
DTX-LBJ-4331-RTR02,0.43 GB,1.06 GB,0.63 GB,6606 LBJ Freeway Suite 200 Dallas TX 75240
DTX-MRT-4331-RTR01,1.64 GB,1.64 GB,-0.0 GB,12222 Merit Dr Dallas TX 75251
DTX-MRT-4331-RTR01,1.64 GB,1.64 GB,-0.0 GB,12222 Merit Dr Dallas TX 75251
HTX-4331-RTR01,1.02 GB,1.65 GB,0.63 GB,1500 CityWest Blvd Houston TX 77042
HTX-4331-RTR02,0.93 GB,1.56 GB,0.63 GB,1500 CityWest Blvd Houston TX 77042
JFL-4331-RTR01,1.02 GB,1.65 GB,0.63 GB,10199 Southside Blvd #101 Jacksonville FL 32256
MAITLNDFL-4331-RTR01,0.93 GB,1.56 GB,0.63 GB,851 Trafalgar Court Maitland FL 32751
FWTX-HARRIS-4321-RTR01,0.38 GB,1.64 GB,1.26 GB,1301 Pennsylvania Ave - 2nd Floor
DCO-4331-RTR01,0.38 GB,1.55 GB,1.17 GB,8000 E MAPLE WOOD AVE BUILDING #5 SUITE #200 Denver CO 80111
DTX-ACD-4321-RTR01,0.48 GB,1.65 GB,1.17 GB,221 West Colorado Blvd. Pavilion II Suite 925 Dallas Texas 75208
CDC-4451-RTR01,3.32 GB,5.48 GB,2.16 GB,2440 Marsh Ln Carrollton TX 75006
CDC-4451-RTR02,3.32 GB,5.48 GB,2.16 GB,2440 Marsh Ln Carrollton TX 75006
SATX-4331-RTR01,1.56 GB,1.56 GB,0.0 GB,City View 10999 I-10 Ste. 903 San Antonio TX
