Serial Number,Device Name,Software Version,Verdict,UpgradeTO,TimeUpgraded,TimeZoneOfUpgrade,DayOfUpgrade,DateUpgraded,Tags,Notes
FDO1924A0V0,DTX-LBJ-4331-RTR01,16.12.05,compliant,N/A,12:40:56,CST,Sat,Mar 13 2021,10.247.0.10,6606 LBJ Freeway Suite 200 Dallas TX 75240
FLM2119W08K,DTX-LBJ-4331-RTR02,16.12.05,compliant,N/A,12:22:07,CST,Sat,Mar 13 2021,10.247.0.14,6606 LBJ Freeway Suite 200 Dallas TX 75240
FLM2039W19T,DTX-MRT-4331-RTR01,16.12.05,compliant,N/A,14:46:09,CST,Sat,Mar 13 2021,10.247.0.254,12222 Merit Dr Dallas TX 75251
FLM2039W19T,DTX-MRT-4331-RTR01,16.12.05,compliant,N/A,14:46:10,CST,Sat,Mar 13 2021,10.247.0.254,12222 Merit Dr Dallas TX 75251
FLM1921W0UW,HTX-4331-RTR01,16.12.05,compliant,N/A,17:42:06,CDT,Thu,Oct 7 2021,10.247.0.246,1500 CityWest Blvd Houston TX 77042
FLM2119V091,HTX-4331-RTR02,16.12.05,compliant,N/A,19:25:12,CDT,Thu,Oct 7 2021,10.247.0.250,1500 CityWest Blvd Houston TX 77042
FLM1931W03G,JFL-4331-RTR01,16.12.05,compliant,N/A,15:10:37,EDT,Mon,Jun 7 2021,10.247.1.10,10199 Southside Blvd #101 Jacksonville FL 32256
FLM2116W052,MAITLNDFL-4331-RTR01,16.12.05,compliant,N/A,17:43:34,EDT,Tue,Mar 23 2021,10.247.1.6,851 Trafalgar Court Maitland FL 32751
FDO2130A1J4,DCO-4331-RTR01,16.12.05,compliant,N/A,19:52:17,MDT,Thu,Apr 22 2021,10.247.0.242,8000 E MAPLE WOOD AVE BUILDING #5 SUITE #200 Denver CO 80111
FLM2043W258,FWTX-HARRIS-4321-RTR01,16.12.05,compliant,N/A,18:24:03,CDT,Wed,Apr 14 2021,10.4.6.1,1301 Pennsylvania Ave - 2nd Floor
FLM2034W0Z7,DTX-ACD-4321-RTR01,16.12.05,compliant,N/A,19:27:59,CDT,Thu,Apr 15 2021,10.4.9.1,221 West Colorado Blvd. Pavilion II Suite 925 Dallas Texas 75208
FTX1842AJRC,CDC-4451-RTR01,16.12.06,non-compliant,,20:10:34,CDT,Thu,Mar 31 2022,10.2.254.41,2440 Marsh Ln Carrollton TX 75006
FTX1842AJRB,CDC-4451-RTR02,16.12.06,non-compliant,,20:00:36,CDT,Thu,Mar 31 2022,10.2.254.50,2440 Marsh Ln Carrollton TX 75006
FLM2223V00G,SATX-4331-RTR01,16.12.06,non-compliant,,System,returned,to,ROM by PowerOn,10.8.10.4,City View 10999 I-10 Ste. 903 San Antonio TX
