Serial Number,Device Name,Device Model,Software Version,Verdict,UpgradeTO,TimeUpgraded,TimeZoneOfUpgrade,DayOfUpgrade,DateUpgraded,Tags,Notes
JAE241713LX,WA-LAN-MANSW0100,C9200L-48T-4G,16.09.05,non-compliant,17.09.04a,08:51:37,EDT,Fri,Sep 11 2020,10.2.253.11,CityPoint
JAE241713LW,WA-LAN-MANSW0700,C9200L-48T-4G,16.09.05,non-compliant,17.09.04a,09:46:48,EDT,Fri,Sep 18 2020,10.2.253.18,CityPoint
JAE241714GH,WA-LAN-MANSW0500,C9200L-48T-4G,16.09.05,non-compliant,17.09.04a,10:42:05,EDT,Wed,Sep 16 2020,10.2.253.15,CityPoint
JAE2417149L,WA-LAN-MANSW0200,C9200L-48T-4G,16.09.05,non-compliant,17.09.04a,09:13:56,EDT,Mon,Sep 14 2020,10.2.253.12,CityPoint
FJC261017NA,wc-lan-oob-sw0102,C9300L-48T-4X,17.06.03,non-compliant,17.09.04a,15:32:38,PDT,Tue,Jul 26 2022,10.198.219.2,Equinix SV3 Cage SV3:01:003060:Wolters 1735 Lundy Ave San Jose CA 95131 US
JAE2417130G,WA-LAN-MANSW0300,C9200L-48T-4G,16.09.05,non-compliant,17.09.04a,09:20:12,EDT,Mon,Sep 14 2020,10.2.253.13,CityPoint
FCW2236C0TT,pr-lan-sw0304,C9300-24T,17.09.04a,non-compliant,N/A,22:04:10,CET,Tue,Apr 16 2024,10.25.56.254,JAPAN IDC
FCW2209C1EV,sh-lan-sw0606,WS-C3850-48T,03.06.06.E,non-compliant,16.12.10a,17:36:23,CET,Tue,Apr 24 2018,10.35.54.253,Frankfurt Europe IDC
JAE241713RR,WA-LAN-MANSW0600,C9200L-48T-4G,16.09.05,non-compliant,17.09.04a,10:55:35,EDT,Tue,Sep 22 2020,10.2.253.16,CityPoint
FOC2443LGAS,pr-lan-sw0704,C9300-48T,17.09.04a,non-compliant,N/A,19:49:16,PDT,Tue,Apr 16 2024,10.25.54.252,Tokyo
FOC2236Q0Q2,pr-lan-sw0104,C9300-24T,17.09.04a,non-compliant,N/A,17:30:07,CET,Tue,Apr 16 2024,10.25.50.254,JAPAN IDC
FCW2328G0E6,sh-lan-sw0706,C9300-48T,16.09.04,non-compliant,17.09.04a,10:44:39,CST,Wed,Jan 15 2020,10.35.54.252,Shanghai ATT IDC
FCW2237E08M,pr-lan-sw0204,C9300-48T,17.09.04a,non-compliant,N/A,21:58:21,CET,Tue,Apr 16 2024,10.25.54.254,JAPAN IDC
FJC261017P2,eu-lan-oob-sw0105,C9300L-48T-4X,17.09.04a,non-compliant,N/A,16:52:44,UTC,Tue,Mar 26 2024,10.198.218.2,Equinix FR4 Cage FR4:0G:0FM300:Wolters Larchenstrasse 110 Frankfurt Griesheim DE 65933 DE
FJC261017P6,eu-lan-ds-sw0105,C9300L-48T-4X,17.09.04a,non-compliant,N/A,16:50:28,UTC,Tue,Mar 26 2024,10.198.218.50,Equinix FR4 Cage FR4:0G:0FM300:Wolters Larchenstrasse 110 Frankfurt Griesheim DE 65933 DE
FJC26061FT0,eu-lan-ds-sw0205,C9300L-48T-4X,17.09.04a,non-compliant,N/A,16:32:49,UTC,Tue,Mar 26 2024,10.198.218.51,Equinix FR4 Cage FR4:0G:0FM300:Wolters Larchenstrasse 110 Frankfurt Griesheim DE 65933 DE
JAE24360CRG,ec-lan-ds-sw0403-2,C9200L-24T-4X,17.03.03,non-compliant,17.09.04a,15:26:21,UTC,Wed,Jun 30 2021,10.198.207.51,Equinix NY2 Cage NY2:01:003140 Cage 3140 275 Hartz Way Secaucus NJ 07094-1908
JAE24360CPZ,ec-lan-ds-sw0403-1,C9200L-24T-4X,17.03.03,non-compliant,17.09.04a,18:27:49,UTC,Tue,Jun 15 2021,10.198.207.50,Equinix NY2 Cage NY2:01:003140 Cage 3140 275 Hartz Way Secaucus NJ 07094-1908
FOC2217Z069,SB-LAN-SW0301,C9300-24T,17.09.04a,non-compliant,N/A,at,12:25:12,Tue,Tue Dec 13,10.10.56.254,Frankfurt - Europe IDC
FOC2217Q03U,SB-LAN-SW0101,C9300-24T,17.09.04a,non-compliant,N/A,at,19:38:05,Tue,Tue Feb 27,10.10.50.254,NewYork IDC
FOC2217Q0UH,SB-LAN-SW0201,C9300-24T,17.09.04a,non-compliant,N/A,at,12:30:48,Tue,Tue Dec 13,10.10.54.254,Frankfurt - Europe IDC
FCW2137C1CV,pr-lan-sw0604,WS-C3850-48T,16.12.10a,non-compliant,N/A,N/A,N/A,N/A,10 weeks,10.25.54.253,Frankfurt Europe IDC
