Serial Number,Device Name/Hostname,Tags,Notes,Software Version
FTX2124W10S,WA-LAN-ASA0100,172.16.31.10,no snmp-server location,9.12(4)41
FTX2124W10W,WA-LAN-ASA0100,172.16.31.10,no snmp-server location,9.12(4)41
FGL173241KK,WA-LAN-ASA0200,172.16.31.18,HQ-3F-DataCenter,9.12(4)41
FTX2242W01F,WA-LAN-ASA0300,172.16.31.26,HQ-3F-DataCenter,9.12(4)41
FGL173241KH,WA-LAN-ASA0200,172.16.31.19,HQ-3F-DataCenter,9.12(4)41
FTX2242W01V,WA-LAN-ASA0300,172.16.31.27,HQ-3F-DataCenter,9.12(4)41
FTX2149W10D,pr-lan-asa0604,10.25.54.1,East Coast IDC,9.12(4)41
FTX18151015,sb-lan-asa0601,10.10.54.1,NYC_1 IDC,9.12(4)41
FTX2139W0KA,sh-lan-asa0606,10.35.54.1,Shanghai IDC,9.12(4)41
FTX2140W01T,sh-lan-asa0606,10.35.54.1,Shanghai IDC,9.12(4)41
