Serial Number,Device Name,Device Model,Software Version,Verdict,UpgradeTO,TimeUpgraded,TimeZoneOfUpgrade,DayOfUpgrade,DateUpgraded,Tags,Notes
FCW2237E08M,pr-lan-sw0204,C9300-48T,16.06.05,non-compliant,17.09.04,11:15:04,CET,Sat,Jul 31 2021,10.25.54.254,JAPAN IDC
FOC2236Q0Q2,pr-lan-sw0104,C9300-24T,16.06.05,non-compliant,17.09.04,11:16:24,CET,Sat,Jul 31 2021,10.25.50.254,JAPAN IDC
FCW2328G0E6,sh-lan-sw0706,C9300-48T,16.09.04,non-compliant,17.09.04,10:44:39,CST,Wed,Jan 15 2020,10.35.54.252,Shanghai ATT IDC
FCW2236C0TT,pr-lan-sw0304,C9300-24T,16.06.05,non-compliant,17.09.04,11:16:22,CET,Sat,Jul 31 2021,10.25.56.254,JAPAN IDC
FCW2209C1EV,sh-lan-sw0606,WS-C3850-48T,03.06.06.E,non-compliant,,17:36:22,CET,Tue,Apr 24 2018,10.35.54.253,Frankfurt Europe IDC
FOC2217Q0UH,SB-LAN-SW0201,C9300-24T,17.03.05,non-compliant,17.09.04,12:30:48,EST,Dec,Dec 13 2022,10.10.54.254,Frankfurt - Europe IDC
FOC2217Z069,SB-LAN-SW0301,C9300-24T,17.03.05,non-compliant,17.09.04,12:25:12,EST,Dec,Dec 13 2022,10.10.56.254,Frankfurt - Europe IDC
FCW2137C1CV,pr-lan-sw0604,WS-C3850-48T,03.06.06E,non-compliant,16.12.09,N/A,N/A,N/A,2 years,10.25.54.253,Frankfurt Europe IDC
FCW2133B3WR,pr-lan-sw0404,WS-C2960X-24TS-L,15.2(7)E4,non-compliant,15.2(7)E7,14:24:28,UTC,Sat,Jul 31 2021,10.25.48.10,JAPAN IDC
FCW2042B61X,sb-lan-sw0401,WS-C2960X-24TS-L,15.2(2)E6,non-compliant,15.2(7)E7,16:09:56,EDT,Sun,Jul 11 2021,10.10.48.10,East Coast IDC1
,sb-lan-sw0501,,,,,,,,,10.10.48.20,
FCW2133B3Y7,pr-lan-sw0504,WS-C2960X-24TS-L,15.2(7)E4,non-compliant,15.2(7)E7,14:10:49,UTC,Sat,Jul 31 2021,10.25.48.20,JAPAN IDC
FCW2137B6MG,sh-lan-sw0506,WS-C2960X-24TS-L,15.2(2)E7,non-compliant,15.2(7)E7,22:04:31,CST,Fri,Dec 15 2017,10.35.48.20,Shanghai China IDC
FCW2137B6T5,sh-lan-sw0406,WS-C2960X-24TS-L,15.2(2)E7,non-compliant,15.2(7)E7,21:53:57,CST,Fri,Dec 15 2017,10.35.48.10,Shanghai China IDC
FDO1807R11W,sh-lan-sw0106,WS-C3750X-24,15.2(1)E3,non-compliant,15.2(7)E7,3:08:31,CST,Wed,May 28 2014,10.35.50.254,Shanghai China IDC
