RuleID               Hit Count           First Hit Time(EST)     Last Hit Time(EST)       
--------------------------------------------------------------------------------------
268438784            893892583           01:43:15 Jan 20 2022     15:00:01 Jan 18 2024     
268439040            2497                11:00:47 Jan 22 2022     22:34:50 Oct 24 2023     
268439042            1319639             21:24:28 Jan 23 2022     08:45:27 Nov 16 2023     
268440578            1424                12:50:49 Jan 27 2022     00:43:52 Jan 18 2024     
268439043            88921189            01:43:22 Jan 20 2022     14:59:57 Jan 18 2024     
268440579            3260078             21:57:45 Jan 26 2022     11:51:41 Oct 18 2023     
268439044            62710               01:51:38 Jan 20 2022     14:55:19 Jan 18 2024     
268438788            3044762             01:43:51 Jan 20 2022     14:59:25 Jan 18 2024     
268440580            4795                06:07:13 Jan 28 2022     22:18:43 Jan 17 2024     
268440581            313                 22:04:37 Jan 26 2022     13:31:03 May 10 2022     
268439045            76                  03:22:35 Mar 3 2022     05:05:40 Mar 3 2022     
268438789            6546                01:29:18 Jun 26 2022     01:53:41 Jan 18 2024     
268440582            318                 11:08:51 Feb 1 2022     03:28:45 Jan 13 2024     
268438790            35757114            01:43:38 Jan 20 2022     14:59:27 Jan 18 2024     
268438792            3                   00:54:55 Apr 4 2022     00:55:52 Apr 4 2022     
268438536            5744634530          01:13:54 Jul 10 2021     15:00:01 Jan 18 2024     
268440585            194357              22:55:24 Jun 20 2022     14:57:55 Jan 18 2024     
268438537            2199923             06:37:15 Jul 11 2021     14:59:02 Jan 18 2024     
268438538            7831065524          01:43:15 Jan 20 2022     15:00:01 Jan 18 2024     
268438539            1568654             01:44:07 Jan 20 2022     14:59:43 Jan 18 2024     
268438540            72262006            01:43:16 Jan 20 2022     15:00:01 Jan 18 2024     
268438541            176833013           01:43:59 Jan 20 2022     15:00:00 Jan 18 2024     
268438542            7735188             01:43:17 Jan 20 2022     14:59:56 Jan 18 2024     
268438799            8762492             01:43:16 Jan 20 2022     14:59:51 Jan 18 2024     
268438543            84532               02:00:05 Jan 20 2022     13:41:15 Jan 18 2024     
268438544            45193               01:48:32 Jan 20 2022     13:53:21 Jan 18 2024     
268438801            2903859             01:43:17 Jan 20 2022     14:59:53 Jan 18 2024     
268438545            467980              01:47:16 Jan 20 2022     14:58:51 Jan 18 2024     
268438546            149366570           01:43:16 Jan 20 2022     15:00:01 Jan 18 2024     
268438547            96433               22:26:29 Jan 21 2022     14:53:10 Jan 18 2024     
268438804            3639                01:45:02 Jan 20 2022     20:21:14 Jan 30 2022     
268438548            420871138           01:43:15 Jan 20 2022     15:00:01 Jan 18 2024     
268438549            3043189             22:11:05 Jan 21 2022     14:59:01 Jan 18 2024     
268438550            8934176             01:44:36 Jan 20 2022     14:59:49 Jan 18 2024     
268438551            51597               22:32:15 Jan 21 2022     13:53:21 Jan 18 2024     
268438807            321                 18:00:55 Jan 22 2022     12:09:17 Nov 16 2023     
268438552            54618               22:11:02 Jan 21 2022     14:20:20 Jan 18 2024     
268438553            3823327             01:43:19 Jan 20 2022     14:59:46 Jan 18 2024     
268438554            19159               22:45:55 Jan 21 2022     13:53:30 Jan 18 2024     
268438814            3                   17:18:38 Feb 7 2022     17:19:25 Feb 7 2022     
268438560            3489483             01:43:17 Jan 20 2022     14:38:12 Jan 18 2024     
268438817            84936               09:55:26 Mar 1 2022     20:51:52 Jan 10 2024     
268438820            2352723             01:47:04 Jan 20 2022     09:51:08 Jan 18 2024     
268438564            35324               22:39:05 Jan 21 2022     14:51:40 Jan 18 2024     
268438567            42393323            01:43:16 Jan 20 2022     14:59:59 Jan 18 2024     
268438569            749199773           01:43:15 Jan 20 2022     15:00:01 Jan 18 2024     
268438574            16374821            01:44:34 Jan 20 2022     14:59:54 Jan 18 2024     
268438575            1839                02:28:40 Oct 27 2022     01:57:43 Oct 27 2023     
268438832            543393              22:35:15 Jan 21 2022     14:26:02 Jan 18 2024     
268438836            52                  09:01:05 Jan 22 2022     12:08:41 Mar 23 2022     
268438584            6767156             01:43:19 Jan 20 2022     14:59:57 Jan 18 2024     
268438842            1273892             01:44:53 Jan 20 2022     14:59:46 Jan 18 2024     
268442687            270                 03:28:05 Feb 8 2023     08:10:23 Jan 17 2024     
268438591            4601800             01:43:23 Jan 20 2022     15:00:00 Jan 18 2024     
268438593            12                  10:52:20 Nov 6 2023     13:44:25 Jan 8 2024     
268442689            20347890            06:39:21 Mar 7 2023     14:59:56 Jan 18 2024     
268438594            254465              11:46:06 Jan 22 2022     23:54:38 Jan 17 2024     
268438595            478694              01:44:33 Jan 20 2022     14:55:35 Jan 18 2024     
268438597            8979                10:22:51 Jan 23 2022     00:53:33 Jan 18 2024     
268438598            1                   06:06:24 Jan 10 2023     06:06:24 Jan 10 2023     
268438855            2850                21:15:05 Jan 24 2022     10:29:10 Jan 17 2024     
268438599            3503060             01:43:22 Jan 20 2022     14:58:09 Jan 18 2024     
268438856            292                 02:43:40 Feb 3 2022     01:00:50 Jan 10 2024     
268438600            7                   06:15:32 Jan 26 2022     08:55:43 Aug 21 2023     
268438601            75373               16:54:34 Oct 25 2023     14:59:26 Jan 18 2024     
268438602            5071765             22:30:12 Jan 21 2022     15:00:00 Jan 18 2024     
268438603            334                 22:35:42 Oct 25 2023     22:58:49 Jan 17 2024     
268438859            18460               22:14:09 Jan 21 2022     01:28:44 Dec 4 2022     
268442700            8339                09:52:31 Sep 29 2023     09:37:17 Dec 1 2023     
268438604            2080068             01:43:24 Jan 20 2022     14:59:26 Jan 18 2024     
268438861            315                 05:20:41 Jan 22 2022     17:18:32 Jan 17 2024     
268438862            11743734            21:44:19 Feb 28 2022     12:43:53 Jan 10 2024     
268438606            686832              01:44:20 Jan 20 2022     14:57:30 Jan 18 2024     
268438607            924525281           01:43:21 Jan 20 2022     15:00:01 Jan 18 2024     
268438608            419332              01:43:22 Jan 20 2022     14:59:25 Jan 18 2024     
268438609            1                   22:36:54 Nov 10 2023     22:36:54 Nov 10 2023     
268438865            148922334           01:43:15 Jan 20 2022     15:00:00 Jan 18 2024     
268438610            496737              01:53:54 Jan 20 2022     14:57:26 Jan 18 2024     
268438866            16261               07:34:26 Jan 22 2022     10:44:15 Jan 18 2024     
