Serial Number,Device Name,Software Version,Tags,Notes
FDO1924A0V0,DTX-LBJ-4331-RTR01,Gibraltar-16.12.5,10.247.0.10,6606 LBJ Freeway Suite 200 Dallas TX 75240
FLM2119W08K,DTX-LBJ-4331-RTR02,Gibraltar-16.12.5,10.247.0.14,6606 LBJ Freeway Suite 200 Dallas TX 75240
FLM2039W19T,DTX-MRT-4331-RTR01,Gibraltar-16.12.5,10.247.0.254,12222 Merit Dr Dallas TX 75251
FLM2119V091,HTX-4331-RTR02,Everest-16.6.8,10.247.0.250,1500 CityWest Blvd Houston TX 77042
FLM1921W0UW,HTX-4331-RTR01,Everest-16.6.8,10.247.0.246,1500 CityWest Blvd Houston TX 77042
FLM1931W03G,JFL-4331-RTR01,Everest-16.6.3,10.247.1.10,10199 Southside Blvd #101 Jacksonville FL 32256
FLM2116W052,MAITLNDFL-4331-RTR01,Everest-16.6.8,10.247.1.6,851 Trafalgar Court Maitland FL 32751
FDO2130A1J4,DCO-4331-RTR01,Everest-16.6.8,10.247.0.242,8000 E MAPLE WOOD AVE BUILDING #5 SUITE #200 Denver CO 80111
FLM2043W258,FWTX-HARRIS-4321-RTR01,Gibraltar-16.12.4,10.4.6.1,1301 Pennsylvania Ave - 2nd Floor
FLM2034W0Z7,DTX-ACD-4321-RTR01,Everest-16.6.8,10.4.9.1,221 West Colorado Blvd. Pavilion II Suite 925 Dallas Texas 75208
FTX1842AJRC,CDC-4451-RTR01,Gibraltar-16.12.4,10.2.254.41,2440 Marsh Ln Carrollton TX 75006
FTX1842AJRB,CDC-4451-RTR02,Gibraltar-16.12.4,10.2.254.50,2440 Marsh Ln Carrollton TX 75006
FOC2220Z0H4,FTMFL-9300-SW01,Gibraltar-16.12.4,172.28.4.45,13350 Metro Parkway Suite 301 Fort Myers FL 33966
