Serial Number,Device Name,Software Version,Tags,Notes
JMX2215G0F,CMD-5506X-ASA01,9.9(2) ,172.28.14.1,10400 Little Patuxent Parkway Suite 240 Columbia Maryland 21044
JMX2211G03,LNV-5506X-ASA01,9.6(4)20 ,24.234.192.130,9127 W. Russell Road Suite 110 Las Vegas NV 89148
JMX2030Y3B,DCO-5506X-ASA01,9.6(4)20 ,10.64.2.1,8000 E MAPLE WOOD AVE BUILDING #5 SUITE #200 Denver CO
JMX2015416,DTX-MRT-5506X-ASA01,9.6(4)41 ,10.4.238.1,12222 Merit Dr Suite 700 Dallas TX 75251
JMX2207G1B,AUSTX-5506X-ASA01,9.6(4)41 ,192.168.0.1,3705 Medical Parkway Austin TX 78705
JMX2047Y27,MCK-INTRANET-5506X-ASA,9.9(2) ,10.2.254.65,2440 Marsh Ln Carrollton TX 75006
JMX2237G0H,TTX-5506X-ASA01,9.6(4)41 ,192.168.130.200,3200 Troup Hwy Ste #200 Tyler Texas 75701
JMX2305G02,PAZ-5508X-ASA01,9.9(2)40 ,172.28.22.1,18205 N. 51st Ave STE 109 Glendale AZ 85308
JMX2306G0U,FTMFL-5508X-ASA01,9.9(2)40 ,172.28.4.1,13350 Metro Parkway Suite 301 Fort Myers FL 33966
JMX2306G0X,ARLTX-5508X-ASA01,9.8(4)22 ,172.28.26.1,PAA - 4305 S Bowen Rd  Arlington  TX  76016
