Serial Number,Device Name,Software Version,Vendor,Tags,Notes
JMX2203G372,LABASA1,9.12(4)41 ,Cisco,3.3.3.3,6606 Lyndon B Johnson FwyDallas TX 75240 United States
FTX2124W10W,WA-LAN-ASA0100,9.12(4)41 ,Cisco,172.16.31.33,on
FTX2242W01F,WA-LAN-ASA0300,9.8(4)20 ,Cisco,172.16.31.26,HQ-3F-DataCenter
FTX2124W10S,WA-LAN-ASA0100,9.12(4)41 ,Cisco,172.16.31.33,on
FGL173241KK,WA-LAN-ASA0200,9.12(4)41 ,Cisco,172.16.31.18,HQ-3F-DataCenter
FGL173241KH,WA-LAN-ASA0200,9.12(4)41 ,Cisco,172.16.31.18,HQ-3F-DataCenter
FTX2242W01V,WA-LAN-ASA0300,9.8(4)20 ,Cisco,172.16.31.26,HQ-3F-DataCenter
FTX2124W10W,WA-LAN-ASA0100,9.12(4)41 ,Cisco,172.16.31.33,on
FGL173241KH,WA-LAN-ASA0200,9.12(4)41 ,Cisco,172.16.31.18,HQ-3F-DataCenter
FTX2124W10S,WA-LAN-ASA0100,9.12(4)41 ,Cisco,172.16.31.33,on
FTX2242W01F,WA-LAN-ASA0300,9.8(4)20 ,Cisco,172.16.31.26,HQ-3F-DataCenter
FGL173241KK,WA-LAN-ASA0200,9.12(4)41 ,Cisco,172.16.31.18,HQ-3F-DataCenter
FTX2242W01V,WA-LAN-ASA0300,9.8(4)20 ,Cisco,172.16.31.26,HQ-3F-DataCenter
