RuleName,RuleID,Hit Count,First Hit Time(EST),Last Hit Time(EST)
outside-in_#1,268438537,2200001,2021-07-11T06:37:06Z,2024-01-18T19:02:23Z
outside-in_#2,268438538,7835441172,2022-01-20T01:43:06Z,2024-01-18T19:03:56Z
DMZ2056_FireCall_Layer_7,268440583,0, , 
outside-in_#3,268438539,1568931,2022-01-20T01:43:58Z,2024-01-18T19:03:02Z
outside-in_#4,268438540,72279143,2022-01-20T01:43:07Z,2024-01-18T19:03:54Z
outside-in_#5,268438541,176888780,2022-01-20T01:43:50Z,2024-01-18T19:03:56Z
outside-in_#6,268438542,7737009,2022-01-20T01:43:08Z,2024-01-18T19:03:53Z
outside-in_#7,268438543,84544,2022-01-20T01:59:56Z,2024-01-18T18:51:47Z
outside-in_#8,268438544,45204,2022-01-20T01:48:23Z,2024-01-18T18:50:25Z
outside-in_#9,268438545,468044,2022-01-20T01:47:07Z,2024-01-18T18:59:53Z
outside-in_#10,268438546,149396872,2022-01-20T01:43:07Z,2024-01-18T19:03:56Z
outside-in_#11,268438547,96580,2022-01-21T22:26:20Z,2024-01-18T19:03:35Z
outside-in_#12,268438548,421010011,2022-01-20T01:43:06Z,2024-01-18T19:03:56Z
Allow_ssh_access_from_7888_port,268442695,0, , 
outside-in_#13,268438549,3043481,2022-01-21T22:10:56Z,2024-01-18T19:02:07Z
outside-in_#14,268438550,8935072,2022-01-20T01:44:27Z,2024-01-18T19:02:24Z
outside-in_#15,268438551,51616,2022-01-21T22:32:06Z,2024-01-18T18:27:13Z
outside-in_#16,268438552,54629,2022-01-21T22:10:53Z,2024-01-18T18:50:45Z
outside-in_#17,268438553,3824155,2022-01-20T01:43:10Z,2024-01-18T19:03:29Z
outside-in_#18,268438554,19162,2022-01-21T22:45:46Z,2024-01-18T18:34:13Z
outside-in_#19,268438555,0, , 
outside-in_#20,268438556,0, , 
outside-in_#21,268438557,0, , 
outside-in_#22,268438558,0, , 
outside-in_#23,268438559,0, , 
outside-in_#24,268438560,3489511,2022-01-20T01:43:08Z,2024-01-18T18:49:16Z
outside-in_#25,268438561,0, , 
outside-in_#26,268438562,0, , 
outside-in_#27,268438563,0, , 
outside-in_#28,268438564,35340,2022-01-21T22:38:56Z,2024-01-18T18:32:37Z
outside-in_Clean_up,268439034,0, , 
DMZ2050_access_in_#1,268438565,0, , 
DMZ2050_access_in_#2,268438566,0, , 
DMZ2050_access_in_#3,268438567,42399179,2022-01-20T01:43:07Z,2024-01-18T19:03:55Z
DMZ2050_access_in_#4,268438568,0, , 
DMZ2050_access_in_#5,268438569,749545003,2022-01-20T01:43:06Z,2024-01-18T19:03:56Z
DMZ2050_access_in_#6,268438570,0, , 
DMZ2050_access_in_#7,268438571,0, , 
DMZ2050_access_in_#8,268438572,0, , 
DMZ2050_access_in_#9,268438573,0, , 
DMZ2050_access_in_#10,268438574,16378229,2022-01-20T01:44:25Z,2024-01-18T19:03:52Z
DMZ2050_access_in_#11,268438575,1839,2022-10-27T02:28:31Z,2023-10-27T01:57:34Z
DMZ2050_access_in_#12,268438576,0, , 
DMZ2050_access_in_#13,268438577,0, , 
DMZ2050_access_in_#14,268438578,0, , 
DMZ2050_access_in_#15,268438579,0, , 
DMZ2050_access_in_#16,268438580,0, , 
DMZ2050_access_in_#17,268438581,0, , 
DMZ2050_access_in_#18,268438582,0, , 
DMZ2050_access_in_#19,268438583,0, , 
DMZ2050_access_in_#20,268438584,6768731,2022-01-20T01:43:10Z,2024-01-18T19:03:53Z
DMZ2050_access_in_#21,268438585,0, , 
DMZ2050_access_in_#22,268438586,0, , 
DMZ2050_access_in_#23,268438587,0, , 
DMZ2050_access_in_#24,268438588,0, , 
DMZ2050_access_in_#25,268438589,0, , 
DMZ2050_access_in_#26,268438590,0, , 
DMZ2050_access_in_#27,268438591,4604505,2022-01-20T01:43:14Z,2024-01-18T19:03:56Z
DMZ2050_access_in_#28,268438592,0, , 
