RuleName,RuleID,Hit Count,First Hit Time(EST),Last Hit Time(EST)
eu-12.130.132.3 in,268442082,187856397,2022-09-24T18:46:34Z,2024-02-25T13:38:49Z
eu-12.130.132.3 out,268442589,188090531,2022-09-24T19:33:26Z,2024-02-25T13:38:49Z
eu-203.163.125.4 in,268442084,184696893,2022-09-24T18:46:47Z,2024-02-25T13:38:48Z
eu-203.163.125.4 out,268442591,184192733,2022-09-24T19:33:11Z,2024-02-25T13:38:49Z
eu-211.144.223.252 in,268442085,29775,2022-09-24T18:46:35Z,2024-02-25T13:18:26Z
eu-211.144.223.252 out,268442592,11455,2022-09-24T22:37:26Z,2024-02-25T13:18:11Z
eu-63.240.21.171 in,268442086,192210458,2022-09-24T18:46:39Z,2024-02-25T13:38:47Z
eu-63.240.21.171 out,268442593,310817957,2022-09-24T19:36:36Z,2024-02-25T13:38:49Z
eu-52.151.234.119 in,268442087,12230,2022-09-24T18:46:48Z,2023-12-31T18:15:52Z
eu-52.151.234.119 out,268442594,9298489,2022-09-24T22:58:41Z,2024-02-25T13:38:40Z
eu-198.52.89.254 in,268442083,42706490,2022-09-24T18:46:34Z,2024-02-25T13:38:40Z
eu-198.52.89.254 out,268442590,82191451,2022-09-24T18:46:35Z,2024-02-25T13:38:49Z
inside-in_#1,268442376,0, , 
inside-in_#2,268442377,0, , 
inside-in_#3,268442378,0, , 
inside-in_#4,268442379,0, , 
inside-in_#5,268442380,0, , 
inside-in_#6,268442381,0, , 
inside-in_#7,268442382,0, , 
inside-in_#8,268442383,0, , 
inside-in_#9,268442384,0, , 
inside-in_#10,268442385,0, , 
inside-in_#11,268442386,0, , 
inside-in_#12,268442387,0, , 
inside-in_#13,268442388,0, , 
inside-in_#14,268442389,0, , 
inside-in_#15,268442390,0, , 
inside-in_#16,268442391,0, , 
inside-in_#17,268442392,0, , 
inside-in_#18,268442393,0, , 
inside-in_#19,268442394,0, , 
inside-in_#20,268442395,0, , 
inside-in_#21,268442396,0, , 
inside-in_#22,268442397,0, , 
inside-in_#23,268442398,0, , 
inside-in_#24,268442399,0, , 
inside-in_#25,268442400,0, , 
inside-in_#26,268442401,0, , 
inside-in_#27,268442402,0, , 
inside-in_#28,268442403,0, , 
inside-in_#29,268442404,0, , 
inside-in_#30,268442405,0, , 
inside-in_#31,268442406,0, , 
inside-in_#32,268442407,0, , 
DMZ3054_access_in_#1,268442409,21,2023-07-04T11:56:26Z,2023-07-04T12:11:35Z
