RuleName,RuleID,Hit Count,First Hit Time(EST),Last Hit Time(EST)
MGMTDMZ-IN_#1-no-lookup,268446723,0, , 
MGMTDMZ-IN_#2-no-lookup,268446724,0, , 
MGMTDMZ-IN_#3-no-lookup,268446725,0, , 
MGMTDMZ-IN_#4-no-lookup,268446726,0, , 
OUTSIDE_#1-no-lookup,268446727,2346761,2024-02-10T00:37:19Z,2024-02-25T05:21:19Z
OUTSIDE_#2-no-lookup,268446728,0, , 
OUTSIDE_#3-no-lookup,268446729,263,2024-02-10T04:45:01Z,2024-02-25T04:10:40Z
OUTSIDE_#4-no-lookup,268446730,21,2024-02-11T23:51:00Z,2024-02-22T06:07:49Z
OUTSIDE_#5-no-lookup,268446731,0, , 
OUTSIDE_#6-no-lookup,268446732,7,2024-02-11T23:51:09Z,2024-02-22T08:52:58Z
OUTSIDE_#7-no-lookup,268446733,0, , 
OUTSIDE_#8,268446734,0, , 
OUTSIDE_#9-no-lookup,268446735,0, , 
OUTSIDE_#10,268446736,0, , 
OUTSIDE_#11,268446737,0, , 
OUTSIDE_#12-no-lookup,268446738,3690,2024-02-10T02:25:22Z,2024-02-25T05:18:58Z
DMZ-IN_#1-no-lookup,268446739,0, , 
DMZ-IN_#2-no-lookup,268446740,0, , 
DMZ-IN_#3-no-lookup,268446741,0, , 
DMZ-IN_#4-no-lookup,268446742,0, , 
DMZ-IN_#5-no-lookup,268446743,0, , 
INSIDE_access_in_#1-no-lookup,268446744,513,2024-02-10T08:17:10Z,2024-02-24T19:34:45Z
INSIDE_access_in_#2-no-lookup,268446745,63052299,2024-02-10T00:37:17Z,2024-02-25T05:21:21Z
INSIDE_access_in_#3,268446746,0, , 
INSIDE_access_in_#4,268446747,0, , 
Default Action,268446722,375695,2024-01-25T10:22:29Z,2024-02-25T05:21:20Z
